CCSO,ARRMAP,Col1,Col2
100-1002,ARR18181,,
100-1002,ARR11517,,
100-1002,ARR11022,,
100-10115,ARR26789,,
100-10115,ARR28978,,
100-10115,ARR24832,,
100-10224,ARR28288,,
100-10224,ARR23458,,
100-10224,ARR25771,,
100-10540,ARR26900,,
100-10540,ARR28498,,
100-10540,ARR16612,,
100-10540,ARR24103,,
100-10674,ARR27859,,
100-10674,ARR10724,,
100-10674,ARR19517,,
100-10674,ARR25454,,
100-10729,ARR27776,,
100-10729,ARR22841,,
100-10729,ARR25559,,
100-10756,ARR26633,,
100-10756,ARR15778,,
100-10756,ARR23525,,
100-10756,ARR27918,,
100-10756,ARR25604,,
100-10756,ARR18609,,
100-10756,ARR28583,,
100-10756,ARR24492,,
100-10756,ARR11020,,
100-10756,ARR18606,,
100-10756,ARR18607,,
100-10756,ARR25709,,
100-10756,ARR26634,,
100-10868,ARR23229,,
100-11094,ARR25611,,
100-11094,ARR22286,,
100-11095,ARR28063,,
100-11095,ARR25612,,
100-11115,ARR26913,,
100-11115,ARR28884,,
100-11115,ARR24570,,
100-11125,ARR27969,,
100-11125,ARR28711,,
100-11125,ARR10591,,
100-11125,ARR12409,,
100-11148,ARR16225,,
100-11210,ARR26733,,
100-11210,ARR28804,,
100-11210,ARR11540,,
100-11210,ARR19957,,
100-11342,ARR27320,,
100-11342,ARR22188,,
100-11342,ARR24859,,
100-11434,ARR26468,,
100-11434,ARR28267,,
100-11434,ARR23550,,
100-1281,ARR14248,,
100-1281,ARR12144,,
100-1286,ARR25590,,
100-1286,ARR12379,,
100-1286,ARR15542,,
100-12962,ARR11982,,
100-12962,ARR25540,,
100-13052,ARR27965,,
100-13088,ARR26881,,
100-13088,ARR28773,,
100-13088,ARR24642,,
100-1315,ARR20411,,
100-1315,ARR26086,,
100-1315,ARR12172,,
100-1315,ARR21645,,
100-13208,ARR23924,,
100-1327,ARR27864,,
100-1327,ARR28698,,
100-1327,ARR12145,,
100-1327,ARR16536,,
100-1327,ARR21020,,
100-1327,ARR23097,,
100-1327,ARR25372,,
100-1331,ARR15509,,
100-1331,ARR11768,,
100-13457,ARR16320,,
100-13457,ARR25994,,
100-13457,ARR28704,,
100-13457,ARR16325,,
100-1353,ARR24777,,
100-1353,ARR12974,,
100-13700,ARR15511,,
100-13700,ARR24312,,
100-13799,ARR27125,,
100-13799,ARR25493,,
100-13957,ARR23586,,
100-14082,ARR22283,,
100-14082,ARR10455,,
100-14399,ARR12841,,
100-14732,ARR11309,,
100-15152,ARR12909,,
100-15152,ARR11018,,
100-1516,ARR23404,,
100-1516,ARR11962,,
100-15175,ARR12909,,
100-1526,ARR24543,,
100-1526,ARR12156,,
100-1526,ARR22879,,
100-15601,ARR11005,,
100-15614,ARR16224,,
100-15616,ARR26789,,
100-15616,ARR28978,,
100-15616,ARR10524,,
100-15616,ARR24832,,
100-15649,ARR24528,,
100-15964,ARR25503,,
100-15964,ARR11941,,
100-16157,ARR26106,,
100-16157,ARR12838,,
100-16157,ARR23123,,
100-16255,ARR26500,,
100-16255,ARR23848,,
100-1633,ARR23940,,
100-1633,ARR27415,,
100-1633,ARR27332,,
100-1633,ARR15523,,
100-1633,ARR20921,,
100-16331,ARR24558,,
100-16331,ARR12373,,
100-16408,ARR27778,,
100-16408,ARR13685,,
100-16428,ARR27362,,
100-16428,ARR11355,,
100-16428,ARR25197,,
100-16444,ARR10917,,
100-165,ARR26821,,
100-165,ARR12608,,
100-165,ARR24152,,
100-16510,ARR12407,,
100-1657,ARR22984,,
100-1657,ARR11512,,
100-1666,ARR27473,,
100-1666,ARR11338,,
100-1666,ARR10750,,
100-1666,ARR22483,,
100-1670,ARR27541,,
100-1670,ARR11762,,
100-1670,ARR19096,,
100-1677,ARR23418,,
100-1677,ARR28262,,
100-1677,ARR11339,,
100-1677,ARR17292,,
100-16843,ARR27194,,
100-16843,ARR28631,,
100-16843,ARR10838,,
100-16843,ARR24003,,
100-17025,ARR12155,,
100-17082,ARR27705,,
100-17082,ARR28817,,
100-17082,ARR10573,,
100-17082,ARR24519,,
100-17089,ARR27448,,
100-17089,ARR11516,,
100-17089,ARR22333,,
100-17089,ARR24674,,
100-1723,ARR23588,,
100-1723,ARR12581,,
100-174,ARR27032,,
100-174,ARR11760,,
100-174,ARR24309,,
100-17560,ARR27718,,
100-17560,ARR13912,,
100-17560,ARR25277,,
100-17577,ARR27956,,
100-17577,ARR25289,,
100-17674,ARR10957,,
100-17674,ARR12594,,
100-17677,ARR26358,,
100-17677,ARR23590,,
100-17762,ARR10515,,
100-17762,ARR19654,,
100-1784,ARR27063,,
100-1784,ARR11949,,
100-17924,ARR25521,,
100-17924,ARR28219,,
100-17924,ARR23049,,
100-17983,ARR26079,,
100-17983,ARR28301,,
100-1799,ARR26998,,
100-1799,ARR17869,,
100-1799,ARR12208,,
100-1799,ARR19095,,
100-1799,ARR24595,,
100-17990,ARR24254,,
100-18121,ARR24784,,
100-18221,ARR23428,,
100-1836,ARR26718,,
100-1836,ARR24055,,
100-18468,ARR28030,,
100-18591,ARR21244,,
100-18591,ARR28253,,
100-18626,ARR24143,,
100-18626,ARR27031,,
100-18632,ARR25844,,
100-18632,ARR28060,,
100-18632,ARR16765,,
100-18632,ARR23584,,
100-18670,ARR12157,,
100-1886,ARR27828,,
100-1886,ARR10830,,
100-1886,ARR25622,,
100-18867,ARR10782,,
100-18989,ARR27138,,
100-18989,ARR29060,,
100-18989,ARR15679,,
100-18989,ARR24651,,
100-18989,ARR26864,,
100-19033,ARR26970,,
100-19033,ARR28984,,
100-19033,ARR24379,,
100-19039,ARR10460,,
100-19052,ARR21079,,
100-19231,ARR26567,,
100-19231,ARR28225,,
100-19231,ARR23993,,
100-19232,ARR26329,,
100-19232,ARR28673,,
100-19232,ARR19785,,
100-19248,ARR11942,,
100-19248,ARR11000,,
100-19420,ARR16223,,
100-1948,ARR25450,,
100-1948,ARR23027,,
100-1949,ARR23027,,
100-1949,ARR12202,,
100-1956,ARR24030,,
100-19587,ARR26789,,
100-19587,ARR28978,,
100-19587,ARR24832,,
100-19588,ARR27274,,
100-19588,ARR10798,,
100-19588,ARR25658,,
100-19589,ARR26734,,
100-19589,ARR24375,,
100-1961,ARR27756,,
100-1961,ARR10488,,
100-1961,ARR25512,,
100-19610,ARR26839,,
100-19610,ARR12408,,
100-1973,ARR27839,,
100-1973,ARR12160,,
100-1973,ARR25362,,
100-19758,ARR27341,,
100-19758,ARR11735,,
100-19797,ARR20924,,
100-19797,ARR25299,,
100-19857,ARR24443,,
100-19898,ARR27343,,
100-19898,ARR28668,,
100-19898,ARR18638,,
100-19898,ARR27017,,
100-20045,ARR13655,,
100-20059,ARR12892,,
100-20059,ARR15596,,
100-20309,ARR27638,,
100-20309,ARR11967,,
100-20342,ARR25991,,
100-20342,ARR12979,,
100-20354,ARR27071,,
100-20354,ARR28987,,
100-20354,ARR21921,,
100-20354,ARR24606,,
100-20376,ARR27509,,
100-20558,ARR10470,,
100-20668,ARR13809,,
100-20668,ARR28768,,
100-2069,ARR24977,,
100-2069,ARR11697,,
100-2070,ARR15646,,
100-2070,ARR11510,,
100-2070,ARR10483,,
100-20757,ARR12912,,
100-20757,ARR28737,,
100-20826,ARR10890,,
100-20874,ARR27764,,
100-20874,ARR10684,,
100-20874,ARR23226,,
100-20874,ARR25227,,
100-20885,ARR25681,,
100-20885,ARR23221,,
100-20886,ARR15537,,
100-20908,ARR27214,,
100-20908,ARR29020,,
100-20908,ARR21921,,
100-20908,ARR24833,,
100-20973,ARR22514,,
100-21028,ARR26837,,
100-21028,ARR28279,,
100-21028,ARR23876,,
100-21037,ARR23824,,
100-21254,ARR27428,,
100-21254,ARR10795,,
100-21254,ARR25297,,
100-21559,ARR10885,,
100-21560,ARR22758,,
100-21560,ARR17770,,
100-21586,ARR28569,,
100-21586,ARR21215,,
100-21586,ARR26017,,
100-21640,ARR27744,,
100-21640,ARR10833,,
100-21640,ARR25633,,
100-21641,ARR26189,,
100-21641,ARR28332,,
100-21641,ARR23648,,
100-21772,ARR26624,,
100-21772,ARR28608,,
100-21772,ARR21874,,
100-21772,ARR24301,,
100-21779,ARR10519,,
100-21779,ARR25314,,
100-21780,ARR27930,,
100-21780,ARR25583,,
100-21883,ARR12919,,
100-21884,ARR24052,,
100-21908,ARR12738,,
100-21908,ARR29171,,
100-22023,ARR28293,,
100-22032,ARR19881,,
100-22172,ARR18610,,
100-22181,ARR27909,,
100-22184,ARR16196,,
100-22201,ARR10703,,
100-22203,ARR26321,,
100-22203,ARR28555,,
100-22203,ARR23921,,
100-22206,ARR12866,,
100-22207,ARR27814,,
100-22207,ARR13362,,
100-22310,ARR26473,,
100-22310,ARR28694,,
100-22310,ARR24034,,
100-22312,ARR24713,,
100-22320,ARR25824,,
100-22320,ARR26916,,
100-22320,ARR27248,,
100-22327,ARR18617,,
100-22327,ARR18618,,
100-22425,ARR28793,,
100-22427,ARR27103,,
100-22427,ARR28907,,
100-22427,ARR24111,,
100-22439,ARR26855,,
100-22439,ARR29152,,
100-22439,ARR25247,,
100-22440,ARR26873,,
100-22440,ARR28960,,
100-22440,ARR24904,,
100-22441,ARR26873,,
100-22441,ARR29104,,
100-22441,ARR24904,,
100-2264,ARR23263,,
100-22785,ARR27464,,
100-22785,ARR10976,,
100-22785,ARR24310,,
100-22807,ARR26661,,
100-22807,ARR28240,,
100-22807,ARR13739,,
100-22808,ARR17039,,
100-22809,ARR23876,,
100-22809,ARR25300,,
100-22814,ARR26496,,
100-22814,ARR24194,,
100-22814,ARR26123,,
100-22972,ARR26668,,
100-22972,ARR28401,,
100-22972,ARR24242,,
100-22973,ARR27835,,
100-22973,ARR25135,,
100-22973,ARR22555,,
100-22982,ARR23512,,
100-22985,ARR26120,,
100-22985,ARR28419,,
100-22985,ARR24142,,
100-230,ARR23445,,
100-2323,ARR27900,,
100-2323,ARR13063,,
100-2323,ARR20064,,
100-23247,ARR25862,,
100-23247,ARR28192,,
100-23247,ARR23364,,
100-23248,ARR10486,,
100-2329,ARR24887,,
100-23296,ARR26662,,
100-23296,ARR28442,,
100-23296,ARR24536,,
100-23395,ARR10873,,
100-23503,ARR18638,,
100-23527,ARR10472,,
100-23528,ARR26252,,
100-23528,ARR20605,,
100-23529,ARR25759,,
100-23529,ARR16242,,
100-23546,ARR26410,,
100-23546,ARR28016,,
100-23546,ARR16684,,
100-23548,ARR10887,,
100-23550,ARR10813,,
100-23763,ARR21056,,
100-23763,ARR13235,,
100-23763,ARR19984,,
100-23763,ARR23788,,
100-2378,ARR25920,,
100-2378,ARR28204,,
100-2378,ARR23823,,
100-23824,ARR26252,,
100-23824,ARR15631,,
100-23826,ARR26252,,
100-23826,ARR28016,,
100-23826,ARR16242,,
100-23828,ARR18278,,
100-23829,ARR26632,,
100-23829,ARR16684,,
100-2391,ARR27548,,
100-2391,ARR22285,,
100-23924,ARR23923,,
100-2399,ARR13222,,
100-24045,ARR25356,,
100-2417,ARR26803,,
100-2417,ARR26802,,
100-2417,ARR26801,,
100-2417,ARR26800,,
100-2417,ARR12893,,
100-2433,ARR13141,,
100-2522,ARR26744,,
100-2522,ARR28881,,
100-2522,ARR11316,,
100-2522,ARR24875,,
100-2530,ARR25273,,
100-2530,ARR12626,,
100-2531,ARR15190,,
100-2534,ARR23982,,
100-2556,ARR13726,,
100-2701,ARR27525,,
100-2701,ARR28954,,
100-2701,ARR24293,,
100-2787,ARR25843,,
100-2787,ARR27979,,
100-2787,ARR20098,,
100-2787,ARR23312,,
100-2830,ARR21982,,
100-2830,ARR12139,,
100-30020389,ARR25719,,
100-4020,ARR25874,,
100-4020,ARR10923,,
100-4021,ARR25956,,
100-4021,ARR22758,,
100-408,ARR11958,,
100-408,ARR23659,,
100-410,ARR21808,,
100-411,ARR27064,,
100-411,ARR11529,,
100-411,ARR25214,,
100-4464,ARR26235,,
100-4464,ARR28549,,
100-4464,ARR24724,,
100-4572,ARR23861,,
100-462,ARR16921,,
100-462,ARR13044,,
100-4641,ARR26733,,
100-4641,ARR28679,,
100-4641,ARR26233,,
100-4641,ARR18246,,
100-4641,ARR25871,,
100-4872,ARR25507,,
100-4872,ARR11530,,
100-4884,ARR14652,,
100-4884,ARR10871,,
100-4945,ARR27533,,
100-4945,ARR23124,,
100-4945,ARR25641,,
100-4986,ARR28156,,
100-5015,ARR20404,,
100-5015,ARR11737,,
100-5042,ARR16037,,
100-5049,ARR25722,,
100-5049,ARR10509,,
